,mass A,,
t,x,y,
2.734,0.108,-3.414E-2
2.750,0.109,-3.011E-2
2.767,0.110,-2.655E-2
2.784,0.110,-2.372E-2
2.800,0.111,-2.170E-2
2.817,0.111,-2.053E-2
2.834,0.111,-2.014E-2
2.850,0.111,-2.050E-2
2.867,0.111,-2.162E-2
2.884,0.110,-2.364E-2
2.900,0.110,-2.641E-2
2.917,0.110,-2.974E-2
2.934,0.109,-3.377E-2
2.950,0.108,-3.828E-2
2.967,0.107,-4.242E-2
2.984,0.106,-4.698E-2
3.000,0.105,-5.103E-2
3.017,0.103,-5.482E-2
3.034,0.102,-5.765E-2
3.050,0.101,-5.985E-2
3.067,9.977E-2,-6.097E-2
3.084,9.883E-2,-6.125E-2
3.100,9.806E-2,-6.015E-2
3.117,9.737E-2,-5.826E-2
3.134,9.671E-2,-5.546E-2
3.150,9.624E-2,-5.210E-2
3.167,9.635E-2,-4.803E-2
3.184,9.660E-2,-4.379E-2
3.200,9.710E-2,-3.940E-2
3.217,9.748E-2,-3.497E-2
3.234,9.788E-2,-3.085E-2
3.250,9.842E-2,-2.737E-2
3.267,9.919E-2,-2.421E-2
3.284,0.100,-2.160E-2
3.300,0.101,-1.970E-2
3.317,0.102,-1.879E-2
3.334,0.103,-1.861E-2
3.350,0.104,-1.944E-2
3.367,0.105,-2.104E-2
3.384,0.106,-2.354E-2
3.400,0.106,-2.691E-2
3.417,0.107,-3.091E-2
3.434,0.108,-3.541E-2
3.450,0.108,-4.026E-2
3.467,0.109,-4.519E-2
3.484,0.109,-4.978E-2
3.500,0.109,-5.372E-2
3.517,0.110,-5.714E-2
3.534,0.110,-5.990E-2
3.550,0.109,-6.164E-2
3.567,0.109,-6.241E-2
3.584,0.108,-6.192E-2
3.600,0.107,-6.037E-2
3.617,0.107,-5.790E-2
3.634,0.106,-5.470E-2
3.650,0.104,-5.088E-2
3.667,0.103,-4.659E-2
3.684,0.103,-4.217E-2
3.700,0.101,-3.787E-2
3.717,0.100,-3.343E-2
3.734,9.972E-2,-2.925E-2
3.750,9.905E-2,-2.578E-2
3.767,9.837E-2,-2.278E-2
3.784,9.802E-2,-2.079E-2
3.800,9.754E-2,-1.942E-2
3.817,9.702E-2,-1.894E-2
3.834,9.689E-2,-1.920E-2
3.850,9.695E-2,-2.012E-2
3.867,9.646E-2,-2.205E-2
3.884,9.625E-2,-2.459E-2
3.900,9.637E-2,-2.769E-2
3.917,9.659E-2,-3.172E-2
3.934,9.668E-2,-3.634E-2
3.950,9.724E-2,-4.084E-2
3.967,9.797E-2,-4.543E-2
3.984,9.878E-2,-4.974E-2
4.000,0.100,-5.357E-2
4.017,0.101,-5.709E-2
4.034,0.103,-5.976E-2
4.050,0.104,-6.154E-2
4.067,0.105,-6.238E-2
4.084,0.106,-6.193E-2
4.100,0.107,-6.051E-2
4.117,0.108,-5.815E-2
4.134,0.109,-5.518E-2
4.150,0.109,-5.144E-2
4.167,0.109,-4.724E-2
4.184,0.109,-4.256E-2
4.200,0.110,-3.798E-2
4.217,0.110,-3.373E-2
4.234,0.109,-2.945E-2
4.250,0.109,-2.595E-2
4.267,0.109,-2.326E-2
4.284,0.108,-2.114E-2
4.300,0.107,-2.003E-2
4.317,0.107,-1.967E-2
4.334,0.106,-2.024E-2
4.350,0.105,-2.131E-2
4.367,0.104,-2.345E-2
4.384,0.103,-2.610E-2
4.400,0.102,-2.960E-2
4.417,0.101,-3.358E-2
4.434,0.100,-3.774E-2
4.450,9.963E-2,-4.196E-2
4.467,9.885E-2,-4.636E-2
4.484,9.799E-2,-5.040E-2
4.500,9.729E-2,-5.399E-2
4.517,9.694E-2,-5.693E-2
4.534,9.693E-2,-5.909E-2
4.550,9.699E-2,-6.026E-2
4.567,9.722E-2,-6.053E-2
4.584,9.762E-2,-5.963E-2
4.601,9.814E-2,-5.799E-2
4.617,9.883E-2,-5.557E-2
4.634,9.981E-2,-5.211E-2
4.651,0.101,-4.845E-2
4.667,0.102,-4.430E-2
4.684,0.103,-4.007E-2
4.701,0.104,-3.591E-2
4.717,0.105,-3.178E-2
4.734,0.106,-2.820E-2
4.751,0.107,-2.530E-2
4.767,0.108,-2.311E-2
4.784,0.108,-2.153E-2
4.801,0.109,-2.087E-2
4.817,0.109,-2.099E-2
4.834,0.110,-2.178E-2
4.851,0.110,-2.349E-2
4.867,0.110,-2.585E-2
4.884,0.110,-2.891E-2
4.901,0.110,-3.258E-2
4.917,0.110,-3.665E-2
4.934,0.109,-4.084E-2
4.951,0.109,-4.520E-2
4.967,0.108,-4.913E-2
4.984,0.107,-5.280E-2
5.001,0.106,-5.611E-2
5.017,0.105,-5.850E-2
5.034,0.104,-5.993E-2
5.051,0.103,-6.054E-2
5.067,0.102,-5.989E-2
5.084,0.101,-5.847E-2
5.101,9.963E-2,-5.614E-2
5.117,9.883E-2,-5.318E-2
5.134,9.832E-2,-4.952E-2
5.151,9.796E-2,-4.547E-2
5.167,9.724E-2,-4.150E-2
5.184,9.685E-2,-3.737E-2
5.201,9.677E-2,-3.321E-2
5.217,9.691E-2,-2.943E-2
5.234,9.713E-2,-2.617E-2
5.251,9.753E-2,-2.354E-2
5.267,9.822E-2,-2.161E-2
5.284,9.860E-2,-2.046E-2
5.301,9.957E-2,-1.977E-2
5.317,0.100,-2.018E-2
5.334,0.101,-2.128E-2
5.351,0.102,-2.329E-2
5.367,0.102,-2.611E-2
5.384,0.103,-2.959E-2
5.401,0.104,-3.370E-2
5.417,0.104,-3.804E-2
5.434,0.105,-4.272E-2
5.451,0.106,-4.719E-2
5.467,0.106,-5.132E-2
5.484,0.107,-5.499E-2
5.501,0.108,-5.807E-2
5.517,0.108,-6.029E-2
5.534,0.108,-6.162E-2
5.551,0.108,-6.179E-2
5.567,0.108,-6.094E-2
5.584,0.108,-5.911E-2
5.601,0.108,-5.629E-2
5.617,0.107,-5.296E-2
5.634,0.107,-4.906E-2
5.651,0.106,-4.478E-2
5.667,0.106,-4.044E-2
5.684,0.104,-3.653E-2
5.701,0.103,-3.231E-2
5.717,0.103,-2.850E-2
5.734,0.102,-2.542E-2
5.751,0.102,-2.288E-2
5.767,0.101,-2.113E-2
5.784,9.992E-2,-2.051E-2
5.801,9.911E-2,-2.057E-2
5.817,9.840E-2,-2.114E-2
5.834,9.834E-2,-2.223E-2
5.851,9.809E-2,-2.428E-2
5.867,9.797E-2,-2.707E-2
5.884,9.768E-2,-3.042E-2
5.901,9.752E-2,-3.434E-2
5.917,9.750E-2,-3.848E-2
5.934,9.753E-2,-4.279E-2
5.951,9.772E-2,-4.705E-2
5.967,9.794E-2,-5.105E-2
5.984,9.852E-2,-5.451E-2
6.001,9.938E-2,-5.749E-2
6.017,0.100,-5.963E-2
6.034,0.101,-6.086E-2
6.051,0.102,-6.110E-2
